ticker,name,sector,industry,currency,price,mktcap_B,pe,forward_pe,pb,ev_ebitda,ps,roe,roa,profit_margin,gross_margin,operating_margin,fcf,operating_cf,total_revenue,debt_equity,current_ratio,quick_ratio,total_debt,revenue_growth,earnings_growth,earnings_quarterly_growth,div_yield,payout_ratio,target_price,analyst_rating,num_analysts,beta,week52_high,week52_low,fcf_yield,upside_pct,group,score,grade,tier,days_to_earnings,opt_expiration,opt_dte,opt_strike,opt_pct_otm,opt_bid,opt_ask,opt_mark,opt_spread_pct,opt_oi,opt_iv,opt_roc,opt_ann_yield,opt_capital_secured
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USD,209.77,2251.86,29.256624,22.332802,5.476166,15.833,3.1410086,22.286,6.927999999999999,10.8339995,50.285999999999994,10.533,23793125376.0,139514003456,716923994112,0.43435,1.051,0.844,178546999296,13.6,5.0,5.9,0.0,0.0,281.27344,1.33824,64,1.383,258.6,161.38,1.06,34.1,US_Consumer_Disc,91,A+,🟢 STRONG,,2026-05-15,40.0,200.0,4.66,7.3,7.5,7.4,2.7,22498.0,43.45,3.7,33.76,20000.0
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,USD,44.19,65.42,29.072369,22.637276,4.6432695,17.744,1.4061462,16.016,5.195,4.836,40.919998,6.941999999999999,1313874944.0,1694000000,46522998784,0.79333,2.139,1.239,11178000384,0.1,-34.8,-34.5,371.0,106.58000999999999,65.45758,2.15385,33,1.319,80.17,43.17,2.01,48.1,US_Consumer_Disc,80,A+,🟢 STRONG,,2026-05-15,40.0,42.5,3.82,1.32,1.38,1.35,4.44,2586.0,37.04,3.18,28.99,4250.0
NEM,Newmont Corporation,Basic Materials,Gold,USD,114.05,124.07,17.848202,10.516736,3.6656704,8.79,5.473203,22.343999,12.1300004,31.253999999999998,63.236000000000004,58.111000000000004,9496750080.0,10334000128,22669000704,0.16738,2.287,1.748,5697999872,20.6,-4.6,-7.3,91.0,15.65,139.818,1.61905,20,0.475,134.88,42.93,7.65,22.6,US_Materials,80,A+,🟢 STRONG,,,,,,,,,,,,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USD,243.04,585.7,22.03445,19.327713,7.1767306,18.174,6.218104,35.029998,8.6780004,28.456,68.081003,23.966,16633249792.0,24529999872,94193000448,0.60499,1.028,0.689,49332998144,9.1,48.6,49.1,214.0,46.6,241.08333,2.12,24,0.329,251.71,141.5,2.84,-0.8,US_Healthcare,77,A,🟢 STRONG,,,,,,,,,,,,,,
CNQ.TO,CDN NATURAL RES,Energy,Oil & Gas E&P,CAD,66.15,138.04,12.819768,18.305998,3.103594,9.92,3.5613186,25.812997999999997,5.757000000000001,27.914,48.461999999999996,19.555001,6421624832.0,15105999872,38762000384,0.44455,0.951,0.579,19722999808,1.5,371.8,366.0,378.0,45.540002,61.47368,2.28571,19,0.934,70.99,34.92,4.65,-7.1,CA_Energy,77,A,🟢 STRONG,,,,,,,,,,,,,,
SU.TO,SUNCOR ENERGY INC.,Energy,Oil & Gas Integrated,CAD,91.72,109.14,18.91134,16.080677,2.4260058,8.052,2.2315664,13.204001000000002,5.6220002,12.100001,59.077999999999996,15.728,6368875008.0,12780999680,48908001280,0.32951,1.394,0.866,14869000192,-3.9,87.6,80.4,262.0,47.63,90.47368,2.1,19,0.598,94.34,43.59,5.84,-1.4,CA_Energy,77,A,🟢 STRONG,,,,,,,,,,,,,,
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,USD,27.66,29.57,10.597701,9.376271,1.0635189,12.903,7.3807735,10.217,4.951000199999999,69.281,99.14,80.31,1466810752.0,2509990912,4006116096,0.6267900000000001,17.233,17.231,17689739264,3.8,-3.4,-1.6,644.0,67.620003,34.78261,1.79167,23,0.728,34.01,26.55,4.96,25.8,US_REITS,77,A,🟢 STRONG,,,,,,,,,,,,,,
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,USD,120.87,298.84,16.603022,12.405957,5.6858597,11.505,4.59673,36.882,12.042,28.077999999999996,77.212,32.773998,11886749696.0,16472000512,65010999296,0.95959,1.536,0.963,50533998592,5.0,-19.3,-20.8,281.0,45.049998,128.59259,1.82759,27,0.275,125.14,73.31,3.98,6.4,US_Healthcare,76,A,🟢 STRONG,,,,,,,,,,,,,,
WSP.TO,WSP GLOBAL INC,Industrials,Engineering & Construction,CAD,219.79,29.63,29.86277,16.621292,3.0104918,15.525,1.6205276,10.6529996,5.380999999999999,5.274,20.703,10.3269994,2009350016.0,2246000128,18285000704,0.50569,1.267,1.189,4976699904,4.1,52.8,53.6,68.0,20.380000000000003,327.57144,,14,0.509,291.46,210.86,6.78,49.0,CA_Industrials,75,A,🟢 STRONG,,,,,,,,,,,,,,
RCI-B.TO,"ROGERS COMMUNICATIONS INC., CL",Communication Services,Telecom Services,CAD,48.76,26.34,3.8273156,9.56189,1.483916,8.138,1.2132179,39.817002,3.8900003,31.752002,45.228,23.785,6366000128.0,6058999808,21711998976,1.8453,0.606,0.5,44814999552,12.6,30.2,26.0,409.99999999999994,15.7,59.10294,2.23529,17,0.82,56.27,32.42,24.17,21.2,CA_Telecom,75,A,🟢 STRONG,,,,,,,,,,,,,,
