ticker,name,sector,industry,currency,price,mktcap_B,pe,forward_pe,pb,ev_ebitda,ps,roe,roa,profit_margin,gross_margin,operating_margin,fcf,operating_cf,total_revenue,debt_equity,current_ratio,quick_ratio,total_debt,revenue_growth,earnings_growth,earnings_quarterly_growth,div_yield,payout_ratio,target_price,analyst_rating,num_analysts,beta,week52_high,week52_low,fcf_yield,upside_pct,group,score,grade,tier,days_to_earnings,opt_expiration,opt_dte,opt_strike,opt_pct_otm,opt_bid,opt_ask,opt_mark,opt_spread_pct,opt_oi,opt_iv,opt_roc,opt_ann_yield,opt_capital_secured
NEM,Newmont Corporation,Basic Materials,Gold,USD,120.9,131.52,18.890625,11.152808,3.8858354,9.328,5.801932,22.343999,12.1300004,31.253999999999998,63.236000000000004,58.111000000000004,9496750080.0,10334000128.0,22669000704.0,0.16738,2.287,1.748,5697999872.0,20.6,-4.6,-7.3,86.0,15.65,140.013,1.61905,20,0.475,134.88,48.27,7.22,15.8,US_Materials,95,A+,🟢 STRONG,,2026-05-15,34.0,115.0,4.88,5.05,5.3,5.17,4.83,2194.0,53.41,4.5,48.31,11500.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USD,238.38,2563.6,33.200558,25.378717,6.2230463,17.941,3.5758305,22.286,6.927999999999999,10.8339995,50.285999999999994,10.533,23793125376.0,139514003456.0,716923994112.0,0.43435,1.051,0.844,178546999296.0,13.6,5.0,5.9,0.0,0.0,281.27344,1.33824,64,1.383,258.6,165.29,0.93,18.0,US_Consumer_Disc,91,A+,🟢 STRONG,,2026-05-15,34.0,230.0,3.52,7.75,7.9,7.83,1.92,4840.0,40.17,3.4,36.52,23000.0
CRM,"Salesforce, Inc.",Technology,Software - Application,USD,164.96,154.57,21.148718,11.076011,2.5911849,12.783,3.7222764,12.3959996,5.179,17.958,77.67600399999999,19.239001000000002,16366999552.0,14995999744.0,41524998144.0,0.29947,0.76,0.644,17710999552.0,12.1,17.9,13.8,107.0,21.33,273.73346,1.63265,52,1.288,296.05,163.52,10.59,65.9,US_Tech,88,A+,🟢 STRONG,,2026-05-15,34.0,160.0,3.01,6.75,7.05,6.9,4.35,1454.0,46.48,4.31,46.3,16000.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USD,101.7,86.41,15.503049,12.807661,5.3209853,8.933,0.97463065,33.772000000000006,7.443,6.285,22.601,10.7480004,5186874880.0,8449999872.0,88661000192.0,1.75884,1.219,1.112,28590000128.0,-3.2,4.6,4.1,645.0,100.0,112.71429,2.26667,28,1.098,122.41,82.0,6.0,10.8,US_Industrials,88,A+,🟢 STRONG,,2026-05-15,34.0,95.0,6.59,1.99,2.06,2.02,3.46,1732.0,38.43,2.13,22.88,9500.0
K.TO,KINROSS GOLD CORP.,Basic Materials,Gold,CAD,46.73,55.96,17.307407,9.700219,4.719547,13.125,7.936794,31.476,16.712,33.897,66.723,49.165002,2405175040.0,3760499968.0,7051100160.0,0.08724,2.35,1.319,758499968.0,42.9,237.9,228.9,40.0,6.41,53.85058,1.77778,9,1.404,53.57,18.53,4.3,15.2,CA_Gold,84,A+,🟢 STRONG,,,,,,,,,,,,,,
OGC.TO,OCEANAGOLD CORPORATION,Basic Materials,Gold,CAD,47.11,10.61,12.630027,7.570851,3.3655548,10.147,5.601885,30.049,18.375999,33.208,59.660999999999994,55.227000000000004,575412480.0,984200000.0,1893200000.0,0.02113,1.447,0.977,50100000.0,52.7,240.4,221.0,53.0,4.46,65.051674,1.72727,11,1.582,59.2,13.86,5.43,38.1,CA_Gold,84,A+,🟢 STRONG,,,,,,,,,,,,,,
ABX.TO,BARRICK MINING CORPORATION,Basic Materials,Gold,CAD,60.27,100.98,14.844828,9.711457,2.7447717,10.989,5.9555845,20.684999,9.974,29.447000000000003,51.256,52.576,4054125056.0,7688999936.0,16956000256.0,0.14509,2.922,2.239,5210999808.0,64.5,150.0,141.6,382.0,17.919999999999998,77.05866,1.95652,11,1.109,74.0,24.29,4.01,27.9,CA_Gold,84,A+,🟢 STRONG,,,,,,,,,,,,,,
TXG.TO,TOREX GOLD RESOURCES INC,Basic Materials,Gold,CAD,67.14,6.41,10.691082,6.3195047,1.9038132,9.176,4.9066935,19.884,12.792,30.898002,61.673,43.972,128612496.0,489000000.0,1305600000.0,0.05489,1.159,0.626,133200000.0,57.7,156.8,176.2,89.0,2.3699999,95.67273,1.45455,11,1.477,85.0,38.8,2.01,42.5,CA_Mixed,84,A+,🟢 STRONG,,,,,,,,,,,,,,
CEU.TO,CES ENERGY SOLUTIONS CORP,Energy,Oil & Gas Equipment & Services,CAD,17.93,3.76,19.48913,15.571941,4.718421,,1.508081,25.340998,10.673001,8.208,23.685000000000002,10.6750004,168298256.0,285372992.0,2494151936.0,0.60078,2.863,1.515,481540992.0,9.8,74.9,63.2,102.0,18.48,20.4375,2.125,8,1.011,19.58,5.75,4.47,14.0,CA_Mixed,81,A+,🟢 STRONG,,,,,,,,,,,,,,
WDO.TO,WESDOME GOLD MINES LTD.,Basic Materials,Gold,CAD,28.4,4.39,12.294373,6.821168,4.557856,6.762,4.7975526,46.359003,33.710998,38.224000000000004,71.817,58.672999999999995,253688368.0,456766016.0,914324992.0,0.00363,5.802,5.097,3397000.0,57.6,106.2,107.3,0.0,0.0,30.4375,2.5,8,0.93,29.66,15.72,5.78,7.2,CA_Mixed,81,A+,🟢 STRONG,,,,,,,,,,,,,,
FVI.TO,FORTUNA MINING CORP,Basic Materials,Gold,CAD,14.5,4.43,12.2881365,6.029947,1.912279,7.55,4.6737003,18.041,11.584999999999999,30.354,49.3,43.425000000000004,298908128.0,467350016.0,947059008.0,0.12176000000000001,2.982,2.445,211296000.0,38.4,987.1,500.0,0.0,0.0,18.595505,2.0,3,2.117,18.99,7.32,6.75,28.2,CA_Mining_Spec,80,A+,🟢 STRONG,,,,,,,,,,,,,,
